folio,element_desc,object_type,visual_feature2,label_token,label_locus,annotation_confidence,refinement_note,semantic_guardrail
f73r,mid-ring nymph at 09:30 holding star,nymph,single,okeos,f73r.20,uncertain,kept uncertain (out of scope): zodiac ring nymphs structurally ambiguous at available IIIF resolution,rota65b_cross_modal_refined_not_decipherment
f73r,mid-ring nymph at 10:00 holding star,nymph,single,otey,f73r.21,uncertain,kept uncertain (out of scope): zodiac ring nymphs structurally ambiguous at available IIIF resolution,rota65b_cross_modal_refined_not_decipherment
f73r,outer-ring nymph at 11:30 holding star,nymph,single,okary,f73r.23,uncertain,kept uncertain (out of scope): zodiac ring nymphs structurally ambiguous at available IIIF resolution,rota65b_cross_modal_refined_not_decipherment
f73r,outer-ring nymph at 01:00 holding star,nymph,single,okeeody,f73r.24,uncertain,kept uncertain (out of scope): zodiac ring nymphs structurally ambiguous at available IIIF resolution,rota65b_cross_modal_refined_not_decipherment
f73r,outer-ring nymph at 02:00 holding star,nymph,single,oyteedy,f73r.25,uncertain,kept uncertain (out of scope): zodiac ring nymphs structurally ambiguous at available IIIF resolution,rota65b_cross_modal_refined_not_decipherment
f73r,outer-ring nymph at 03:00 holding star,nymph,single,oky,f73r.26,uncertain,kept uncertain (out of scope): zodiac ring nymphs structurally ambiguous at available IIIF resolution,rota65b_cross_modal_refined_not_decipherment
f73r,outer-ring nymph at 04:30 holding star,nymph,single,chefy,f73r.27,uncertain,kept uncertain (out of scope): zodiac ring nymphs structurally ambiguous at available IIIF resolution,rota65b_cross_modal_refined_not_decipherment
f73r,outer-ring nymph at 06:00 holding star,nymph,single,otal,f73r.28,uncertain,kept uncertain (out of scope): zodiac ring nymphs structurally ambiguous at available IIIF resolution,rota65b_cross_modal_refined_not_decipherment
f73r,outer-ring nymph at 07:00 holding star,nymph,single,chek,f73r.29,uncertain,kept uncertain (out of scope): zodiac ring nymphs structurally ambiguous at available IIIF resolution,rota65b_cross_modal_refined_not_decipherment
f73r,outer-ring nymph at 09:30 holding star,nymph,single,kar,f73r.31,uncertain,kept uncertain (out of scope): zodiac ring nymphs structurally ambiguous at available IIIF resolution,rota65b_cross_modal_refined_not_decipherment
f73r,outer-ring nymph at 10:30 holding star,nymph,single,okeeos,f73r.32,uncertain,kept uncertain (out of scope): zodiac ring nymphs structurally ambiguous at available IIIF resolution,rota65b_cross_modal_refined_not_decipherment
